,City,Country,Date,Cloudiness,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Maceio,BR,2019-06-27,75,69,-9.67,-35.74,77.0,4.7
1,Cabo San Lucas,MX,2019-06-27,40,46,22.89,-109.91,97.0,12.75
2,Adelaide,AU,2019-06-27,0,51,-34.93,138.6,62.01,17.22
3,Nabire,ID,2019-06-27,100,99,-3.36,135.5,70.25,3.56
4,Cape Town,ZA,2019-06-27,75,82,-33.93,18.42,57.99,26.4
5,Hermanus,ZA,2019-06-27,67,72,-34.42,19.24,59.0,7.0
6,Atuona,PF,2019-06-27,0,74,-9.8,-139.03,80.69,14.45
7,Bethel,US,2019-06-27,20,56,60.79,-161.76,69.8,6.42
8,Qasigiannguit,GL,2019-06-27,75,65,68.82,-51.19,41.0,12.75
9,Busselton,AU,2019-06-27,13,98,-33.64,115.35,42.01,24.76
10,Mataura,NZ,2019-06-27,2,92,-46.19,168.86,41.0,3.0
11,Kodiak,US,2019-06-27,40,70,39.95,-94.76,90.0,23.04
12,Parkes,AU,2019-06-27,0,72,-33.14,148.18,53.01,3.0
13,Rodna,RO,2019-06-27,68,86,47.42,24.82,57.0,3.4
14,Upernavik,GL,2019-06-27,79,81,72.79,-56.15,33.71,5.19
15,Kapaa,US,2019-06-27,75,74,22.08,-159.32,84.2,17.22
16,Vieksniai,LT,2019-06-27,0,66,56.23,22.52,55.4,18.34
17,Rikitea,PF,2019-06-27,100,82,-23.12,-134.97,75.11,17.27
18,Chicama,PE,2019-06-27,0,77,-7.84,-79.15,68.0,10.29
19,Vostok,RU,2019-06-27,100,98,46.45,135.83,49.37,4.65
20,Ushuaia,AR,2019-06-27,75,96,-54.81,-68.31,32.0,23.04
21,Aconibe,GQ,2019-06-27,5,99,1.29,10.94,65.93,1.54
22,Dunedin,NZ,2019-06-27,67,64,-45.87,170.5,51.01,1.01
23,Punta Arenas,CL,2019-06-27,40,74,-53.16,-70.91,32.0,13.87
24,Opuwo,NA,2019-06-27,0,81,-18.06,13.84,48.47,1.14
25,San Sebastian El Grande,MX,2019-06-27,75,44,20.52,-103.42,78.8,4.7
26,Touros,BR,2019-06-27,75,94,-5.2,-35.46,77.0,3.36
27,Inhambane,MZ,2019-06-27,0,95,-23.87,35.38,61.43,2.44
28,Raudeberg,NO,2019-06-27,40,71,61.99,5.14,51.8,8.05
29,Souillac,FR,2019-06-27,0,58,45.6,-0.6,86.0,5.82
30,Moroleon,MX,2019-06-27,75,39,20.13,-101.2,80.6,9.17
31,Poya,NC,2019-06-27,100,85,-21.35,165.16,70.25,18.19
32,Saint-Philippe,CA,2019-06-27,20,45,45.36,-73.48,84.99,18.34
33,Tuktoyaktuk,CA,2019-06-27,75,81,69.44,-133.03,44.6,8.05
34,Chuy,UY,2019-06-27,86,68,-33.69,-53.46,51.35,8.81
35,Vredendal,ZA,2019-06-27,77,89,-31.68,18.49,55.49,26.96
36,Pangnirtung,CA,2019-06-27,20,52,66.15,-65.72,46.4,20.8
37,Nikolskoye,RU,2019-06-27,90,87,59.7,30.79,59.0,11.18
38,Airai,TL,2019-06-27,0,77,-8.93,125.41,63.41,6.06
39,Bluff,AU,2019-06-27,89,84,-23.58,149.07,57.65,16.87
40,Lebu,ET,2019-06-27,40,87,8.96,38.73,59.0,9.17
41,Mahebourg,MU,2019-06-27,75,88,-20.41,57.7,73.99,3.36
42,Albany,US,2019-06-27,75,35,42.65,-73.75,86.0,12.75
43,Baghdad,IQ,2019-06-27,0,18,33.3,44.38,96.8,4.7
44,Clyde River,CA,2019-06-27,20,57,70.47,-68.59,48.2,17.22
45,Morehead,US,2019-06-27,20,46,38.18,-83.43,91.99,7.02
46,Babanka,UA,2019-06-27,0,90,48.71,30.45,62.33,13.29
47,Port Alfred,ZA,2019-06-27,0,53,-33.59,26.89,62.01,7.0
48,Bredasdorp,ZA,2019-06-27,0,58,-34.53,20.04,59.0,1.12
49,Vuktyl,RU,2019-06-27,25,60,63.86,57.31,49.19,3.13
50,Port-Gentil,GA,2019-06-27,20,88,-0.72,8.78,75.2,6.93
51,Lobito,AO,2019-06-27,36,87,-12.35,13.55,64.13,5.39
52,Puerto Ayora,EC,2019-06-27,0,69,-0.74,-90.35,78.8,19.46
53,Ribeira Grande,PT,2019-06-27,75,63,38.52,-28.7,66.2,5.82
54,Griffith,AU,2019-06-27,0,81,-34.29,146.06,50.0,6.93
55,Bambous Virieux,MU,2019-06-27,75,88,-20.34,57.76,73.99,3.36
56,Brae,GB,2019-06-27,99,93,60.4,-1.35,51.8,10.29
57,Barrow,AR,2019-06-27,100,53,-38.31,-60.23,50.45,19.71
58,Tromso,NO,2019-06-27,75,81,69.65,18.96,42.8,17.22
59,Porto Torres,IT,2019-06-27,0,88,40.84,8.4,77.0,3.36
60,Butaritari,KI,2019-06-27,2,73,3.07,172.79,83.57,12.46
61,Worthington,US,2019-06-27,1,65,43.62,-95.6,84.2,17.22
62,Arraial Do Cabo,BR,2019-06-27,40,94,-22.97,-42.02,75.2,9.17
63,Saldanha,PT,2019-06-27,0,68,41.42,-6.55,68.99,4.63
64,Cidreira,BR,2019-06-27,0,85,-30.17,-50.22,58.55,10.27
65,Margate,AU,2019-06-27,0,66,-43.03,147.26,57.0,10.29
66,Baft,IR,2019-06-27,0,32,29.23,56.61,67.73,6.85
67,Khatanga,RU,2019-06-27,100,73,71.98,102.47,56.75,9.33
68,Alugan,PH,2019-06-27,100,94,12.22,125.48,76.01,3.29
69,Na Wa,TH,2019-06-27,100,83,17.49,104.1,77.27,5.93
70,Thinadhoo,MV,2019-06-27,17,70,0.53,72.93,83.21,4.47
71,Mezhdurechensk,RU,2019-06-27,0,92,53.69,88.07,56.75,2.28
72,Salta,AR,2019-06-27,0,35,-24.79,-65.41,69.8,6.93
73,Vao,EE,2019-06-27,0,70,59.1,26.19,57.29,12.35
74,Luderitz,NA,2019-06-27,0,93,-26.65,15.16,50.0,4.7
75,Thompson,CA,2019-06-27,75,37,55.74,-97.86,68.0,4.7
76,Banda Aceh,ID,2019-06-27,78,77,5.56,95.32,83.57,14.99
77,Riyadh,SA,2019-06-27,0,9,24.63,46.72,91.4,1.54
78,Tiksi,RU,2019-06-27,87,80,71.64,128.87,43.97,11.39
79,Bathsheba,BB,2019-06-27,40,70,13.22,-59.52,84.2,19.46
80,Mount Isa,AU,2019-06-27,0,81,-20.73,139.49,48.2,12.86
81,Namibe,AO,2019-06-27,100,80,-15.19,12.15,65.75,13.94
82,New Norfolk,AU,2019-06-27,0,66,-42.78,147.06,57.0,10.29
83,Narsaq,GL,2019-06-27,75,62,60.91,-46.05,55.4,8.05
